TRIMESTRE,CHRONIQUE,DR,mean_1,median_1,p5_1,p10_1,p25_1,p75_1,p90_1,p95_1,mean_2,median_2,p5_2,p10_2,p25_2,p75_2,p90_2,p95_2,mean_3,median_3,p5_3,p10_3,p25_3,p75_3,p90_3,p95_3,mean_4,median_4,p5_4,p10_4,p25_4,p75_4,p90_4,p95_4,mean_5,median_5,p5_5,p10_5,p25_5,p75_5,p90_5,p95_5,mean_6,median_6,p5_6,p10_6,p25_6,p75_6,p90_6,p95_6,mean_7,median_7,p5_7,p10_7,p25_7,p75_7,p90_7,p95_7,mean_8,median_8,p5_8,p10_8,p25_8,p75_8,p90_8,p95_8,CD_TY_CLI_RCI_1,CD_TY_CLI_RCI_2,CD_ETA_CIV_1,CD_ETA_CIV_2,CD_MOD_HABI_1,CD_MOD_HABI_2,CD_PROF_1,CD_PROF_2,CD_PROF_3,CD_QUAL_VEH_1,CD_QUAL_VEH_2,dtf_per_trt,PIB,Inflation,Tx_cho
2008Q4,CHR2,0.30%,0.99484309,0.99519155,0.99208063,0.99252968,0.99369126,0.99625907,0.99686183,0.99702259,495,428,164,215,296,662,869,976,19,21,2,2,9,26,30,30,6,5,-3,-1,1,7,9,12,786008,739254,51392,111171,275370,1157353,1535001,1786452,0.0000014,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2735659,0.3125000,0.0166667,0.0204082,0.0270270,0.4375000,0.5500000,0.6500000,0.2738111987,0.2307692308,-0.309994426,0,0.0927717042,0.4897959184,0.8014472291,0.8481012658,0.533%,99.467%,36.926%,63.074%,27.246%,72.754%,7.085%,35.122%,57.793%,39.213%,60.787%,Q42008,497736,1.760576189,7.8
2008Q4,CHR8,19.24%,0.94569391,0.95396814,0.87088877,0.89024642,0.92474267,0.97602398,0.99022910,0.99479265,147,92,16,21,46,164,301,478,33,26,9,9,16,46,67,77,58,46,6,7,15,80,112,138,877438,848259,65458,178644,475650,1199318,1559919,1843421,0.0074997,0.0062893,0.0000000,0.0016940,0.0034602,0.0103093,0.0149780,0.0186047,0.1129270,0.0612245,0.0000000,0.0000000,0.0166667,0.1500000,0.2972973,0.4285714,0.0904734674,0.0967741935,-0.132710971,0,0,0.1638797348,0.3000109613,0.464961198,4.827%,95.173%,64.012%,35.988%,67.925%,32.075%,18.176%,54.180%,27.644%,54.851%,45.149%,Q42008,497736,1.760576189,7.8
2008Q4,Totale,2.40%,0.97511402,0.99381902,0.90917310,0.94077331,0.97835811,0.99813277,0.99922394,0.99953871,563,291,30,51,107,742,1402,1965,653,276,16,26,56,991,1791,2351,219,49,5,6,9,153,611,1165,728512,644592,47750,101062,250182,1080543,1473114,1738923,0.0010929,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0035842,0.0079365,0.1553287,0.0833333,0.0000000,0.0166667,0.0327869,0.2166667,0.4166667,0.5416667,0.2797729641,0.1923076923,-0.049377961,0,0.0300745489,0.5429346863,0.7995456368,0.8461538462,4.511%,95.489%,41.879%,58.121%,34.329%,65.671%,10.289%,37.072%,52.639%,45.114%,54.886%,Q42008,497736,1.760576189,7.8
2009Q1,CHR2,0.25%,0.99478210,0.99519150,0.99209688,0.99257854,0.99369442,0.99627469,0.99686183,0.99702544,515,467,182,202,254,660,918,1066,17,15,6,6,11,26,29,29,5,5,-1,0,1,6,9,13,787928,740867,54512,123439,300091,1145193,1520862,1775100,0.0000014,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2597931,0.2988946,0.0166667,0.0204082,0.0274024,0.4000000,0.5333333,0.6166667,0.2763666327,0.2318625016,-0.260346816,0,0.1,0.4809697232,0.7921718046,0.8425692695,0.501%,99.499%,35.910%,64.090%,26.187%,73.813%,6.823%,34.280%,58.897%,37.666%,62.334%,Q12009,489227,0.624887123,8.6
2009Q1,CHR8,14.36%,0.94778666,0.95641713,0.87088877,0.89332847,0.92744727,0.97898765,0.99173514,0.99565583,136,78,11,15,39,152,294,441,31,26,6,6,11,43,70,78,57,49,6,7,15,83,111,132,873307,841222,73833,179502,479087,1181337,1546179,1843618,0.0074860,0.0062035,0.0000000,0.0016826,0.0034130,0.0102389,0.0152672,0.0188679,0.1126933,0.0625000,0.0000000,0.0000000,0.0166667,0.1500000,0.2972973,0.4098361,0.0980333376,0.1,-0.115865041,0,0,0.16388,0.3076923077,0.4868595198,5.147%,94.853%,62.686%,37.314%,65.355%,34.645%,17.730%,53.290%,28.980%,54.393%,45.607%,Q12009,489227,0.624887123,8.6
2009Q1,Totale,1.98%,0.97548780,0.99391019,0.91085992,0.94196627,0.97866054,0.99815480,0.99921294,0.99953092,563,279,21,43,106,737,1436,2014,642,264,11,26,60,949,1801,2359,234,55,5,6,10,170,667,1235,728554,648857,50248,107515,257285,1066920,1456722,1725643,0.0011502,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0038023,0.0083011,0.1521602,0.0833333,0.0000000,0.0000000,0.0273973,0.2162162,0.4081633,0.5416667,0.2828468066,0.1994816282,0,0,0.0469165829,0.5390040299,0.7916666667,0.8412698413,4.352%,95.648%,41.001%,58.999%,33.479%,66.521%,9.935%,36.397%,53.669%,43.663%,56.337%,Q12009,489227,0.624887123,8.6
2009Q2,CHR2,0.26%,0.99479856,0.99517627,0.99210853,0.99259131,0.99369126,0.99627548,0.99686408,0.99703803,575,494,243,273,363,716,1066,1121,16,15,5,5,5,26,28,28,7,6,0,0,2,7,11,16,786537,734229,63414,130995,323419,1133081,1512585,1771888,0.0000009,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2901499,0.3145834,0.0166667,0.0208333,0.0342971,0.4110361,0.5833333,0.6333333,0.2798716986,0.2364369007,-0.189225423,0,0.1017960645,0.4706208065,0.7810218978,0.8376842949,0.489%,99.511%,36.230%,63.770%,26.033%,73.967%,6.692%,34.635%,58.673%,37.230%,62.770%,Q22009,488744,-0.206626291,9.133333333
2009Q2,CHR8,14.18%,0.94964701,0.95820136,0.87372901,0.89653278,0.92921185,0.98014267,0.99227452,0.99578339,134,85,13,17,41,155,279,411,31,25,5,5,8,46,64,81,59,52,6,7,19,86,114,135,867395,834270,90080,197037,490251,1157035,1527097,1809352,0.0076209,0.0062598,0.0000000,0.0018132,0.0034632,0.0104239,0.0155039,0.0191507,0.1211066,0.0666667,0.0000000,0.0000000,0.0204082,0.1666667,0.3055556,0.4324324,0.1039061349,0.1,-0.018333723,0,0,0.1678227791,0.3066257387,0.4858657244,5.384%,94.616%,62.811%,37.189%,64.054%,35.946%,17.525%,53.431%,29.044%,53.479%,46.521%,Q22009,488744,-0.206626291,9.133333333
2009Q2,Totale,1.90%,0.97553775,0.99382807,0.91203289,0.94206098,0.97837730,0.99814750,0.99921040,0.99951637,576,288,20,41,106,746,1481,2085,685,324,12,25,64,1009,1872,2429,244,62,5,6,10,180,698,1281,725474,646542,54479,115953,268906,1051729,1446145,1722820,0.0011704,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0039194,0.0085227,0.1532405,0.0833333,0.0000000,0.0000000,0.0277778,0.2162162,0.4081633,0.5500000,0.2861058714,0.2012222725,0,0,0.0694130799,0.5356552772,0.7841726619,0.8358862144,4.274%,95.726%,41.263%,58.737%,33.516%,66.484%,9.861%,36.669%,53.469%,43.130%,56.870%,Q22009,488744,-0.206626291,9.133333333
2009Q3,CHR2,0.26%,0.99479559,0.99514714,0.99210343,0.99258725,0.99367946,0.99627254,0.99686183,0.99702543,553,552,133,365,409,632,803,1040,15,15,5,5,5,23,30,30,8,6,0,1,4,7,12,16,777256,718643,62521,125361,320009,1118992,1510580,1776162,0.0000006,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3545473,0.3401361,0.0166667,0.0277778,0.2833333,0.5000000,0.5833333,0.6333333,0.2860549168,0.2442645074,-0.042799225,0,0.108656284,0.4676230483,0.7743173099,0.8338962405,0.492%,99.508%,35.744%,64.256%,25.371%,74.629%,6.602%,34.203%,59.195%,36.699%,63.301%,Q32009,489557,-0.42324655,9.166666667
